,jordkvalitet,kartleggingsmetode,verifiseringsdato,målemetode,nøyaktighet,fylkeid,komid
283,2,D,99990101,45,0,42,4225
284,2,D,99990101,45,0,42,4225
285,3,D,99990101,45,0,42,4225
286,3,D,99990101,45,0,42,4225
287,2,D,99990101,45,0,42,4225
288,2,D,99990101,45,0,42,4225
289,2,D,99990101,45,0,42,4225
290,3,D,99990101,45,0,42,4225
291,2,J,20190211000000,0,0,42,4204
292,2,J,20190211000000,0,0,42,4204
293,2,J,20190211000000,0,0,42,4204
294,1,J,20190211000000,0,0,42,4204
295,2,J,20190211000000,0,0,42,4204
296,2,J,20190211000000,0,0,42,4204
297,2,J,20190211000000,0,0,42,4204
298,1,J,20190211000000,0,0,42,4204
299,2,J,20190211000000,0,0,42,4204
300,2,J,20190211000000,82,0,42,4204
301,2,J,20190211000000,0,0,42,4204
302,2,J,20190211000000,0,0,42,4204
303,1,J,20190211000000,0,0,42,4204
304,2,J,20190211000000,82,0,42,4204
305,1,J,20190211000000,0,0,42,4204
306,1,J,20190211000000,0,0,42,4204
307,2,J,20190211000000,0,0,42,4204
308,2,J,20190211000000,0,0,42,4204
309,2,J,20190211000000,0,0,42,4204
310,2,J,20190211000000,0,0,42,4204
311,2,J,20190211000000,0,0,42,4204
312,1,J,20190211000000,82,0,42,4204
313,1,J,20190211000000,0,0,42,4204
314,1,J,20190211000000,0,0,42,4204
315,1,J,20190211000000,0,0,42,4204
316,1,J,20190211000000,0,0,42,4204
317,1,J,20190211000000,0,0,42,4204
318,2,J,20190211000000,0,0,42,4204
319,1,J,20190211000000,0,0,42,4204
320,1,J,20190211000000,82,0,42,4204
321,1,J,20190211000000,0,0,42,4204
322,1,J,20190211000000,0,0,42,4204
323,1,J,20190211000000,0,0,42,4204
324,1,J,20190211000000,0,0,42,4204
325,1,J,20190211000000,0,0,42,4204
326,1,J,20190211000000,0,0,42,4204
327,1,J,20190211000000,82,0,42,4204
328,1,J,20190211000000,0,0,42,4204
329,1,J,20190211000000,0,0,42,4204
330,1,J,20190211000000,82,0,42,4204
331,1,J,20190211000000,82,0,42,4204
332,2,J,20190211000000,0,0,42,4204
333,2,J,20190211000000,0,0,42,4204
334,1,J,20190211000000,0,0,42,4204
335,1,J,20190211000000,0,0,42,4204
336,3,J,20190211000000,0,0,42,4204
337,1,J,20190211000000,0,0,42,4204
338,1,J,20190211000000,0,0,42,4204
339,1,J,20190211000000,0,0,42,4204
340,1,J,20190211000000,0,0,42,4204
341,1,J,20190211000000,0,0,42,4204
342,1,J,20190211000000,0,0,42,4204
343,1,J,20190211000000,0,0,42,4204
344,1,J,20190211000000,0,0,42,4204
345,1,J,20190211000000,0,0,42,4204
346,2,J,20190211000000,0,0,42,4204
347,1,J,20190211000000,0,0,42,4204
348,1,J,20190211000000,0,0,42,4204
349,1,J,20190211000000,0,0,42,4204
350,1,J,20190211000000,0,0,42,4204
351,2,J,20190211000000,0,0,42,4204
352,1,J,20190211000000,82,0,42,4204
353,2,J,20190211000000,0,0,42,4204
354,1,J,20190211000000,0,0,42,4204
355,2,J,20190211000000,0,0,42,4204
356,1,J,20190211000000,0,0,42,4204
357,2,J,20190211000000,82,0,42,4204
